,Dem_age,Dem_gender,Country,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_Lon_1,Scale_Lon_2,Scale_Lon_3,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,PSS10_avg,Lon_avg,SPS_avg
76124,39,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76129,67,Female,United States,2,4,3,4,3,4,4,2,1,2,3,2,3,6,10,6,6,6,5,5,5,5,6,6,6,5,5,1,3,6,2.7,2.666667,3.9
76140,71,Male,United States,2,1,3,5,3,1,4,4,5,1,1,2,3,2,6,7,4,8,1,6,6,6,6,6,6,6,6,2,6,4,2.1,2,5.5
76193,42,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76201,26,Female,United States,4,4,4,2,3,3,3,2,3,3,3,3,2,2,4,6,5,8,4,4,3,4,5,6,4,6,6,2,4,4,3.5,2.666667,4.1
76226,50,Male,United States,2,4,3,4,4,3,4,4,5,2,1,2,3,4,3,6,1,10,1,4,6,5,6,6,5,5,6,1,2,4,2.7,2,4.9
76346,22,Female,United States,3,2,3,3,2,3,4,3,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.666667,NA
76384,32,Female,United States,5,5,5,1,1,4,2,3,4,5,3,5,5,0,0,0,8,8,0,6,6,6,6,6,6,6,6,2,1,2,4.5,4.333333,5.5
76400,25,Female,United States,3,1,3,4,3,2,5,5,1,1,1,1,2,3,5,6,3,5,1,3,6,5,6,6,6,6,6,2,4,6,1.8,1.333333,NA
76412,36,Female,United States,3,3,5,4,3,3,3,3,3,3,2,1,4,5,5,6,6,8,3,5,6,6,6,6,6,6,6,2,4,5,3.1,2.333333,6
76444,37,Female,United States,4,3,5,3,2,3,3,1,4,4,3,2,4,4,9,9,7,9,4,4,5,5,5,5,6,6,5,5,2,2,3.8,3,5.2
76474,28,Male,United States,5,4,4,4,3,3,5,3,4,3,5,5,4,2,1,2,3,2,NA,5,6,5,3,2,5,4,4,3,2,1,3.2,4.666667,3.8
76489,40,Female,United States,3,2,3,4,4,2,4,4,2,1,1,2,3,2,6,7,10,10,3,4,6,5,6,6,6,6,6,1,2,4,2.1,2,5.7
76530,26,Female,United States,5,5,5,2,1,5,2,1,5,5,3,4,3,4,5,5,5,5,3,5,6,6,5,5,4,3,2,5,1,4,4.8,3.333333,5.7
76559,60,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76601,44,Female,United States,3,2,3,4,3,2,5,4,3,1,5,2,3,4,5,4,5,7,3,4,6,3,3,4,6,6,6,2,2,4,2.2,3.333333,5.4
76602,31,Female,United States,2,2,3,5,3,2,4,3,3,2,2,3,2,2,5,8,2,7,2,5,6,6,5,5,6,5,5,1,4,4,2.3,2.333333,NA
76614,29,Male,United States,2,2,2,4,2,2,4,5,2,1,4,2,3,8,8,7,7,9,9,2,5,4,6,6,6,6,6,2,5,5,2,3,5.4
76618,55,Female,United States,2,2,3,4,3,1,4,4,3,2,5,4,5,1,7,9,5,9,NA,6,6,6,6,6,5,5,5,1,1,2,2.2,4.666667,5
76634,64,Male,United States,1,1,3,5,3,1,1,5,3,1,1,3,3,2,NA,NA,5,5,1,6,6,6,5,5,6,6,6,2,2,4,2,2.333333,5
76672,42,Female,United States,1,3,3,3,1,3,1,3,3,2,5,1,2,0,5,8,8,8,1,5,6,6,6,6,6,6,6,1,3,1,3.1,2.666667,2.2
76731,34,Female,United States,2,3,5,3,4,5,3,3,3,2,1,2,2,5,7,5,4,9,4,5,5,6,6,6,6,6,6,2,3,2,3.1,1.666667,5.2
76788,35,Female,United States,2,2,2,5,4,2,4,4,2,1,1,1,2,5,7,8,8,1,8,2,4,2,3,4,6,6,6,1,1,1,1.8,1.333333,6
76815,27,Female,United States,4,5,5,3,3,3,3,4,4,3,5,4,5,3,1,5,1,4,2,6,6,5,5,5,5,5,5,6,2,6,3.5,4.666667,5.7
76823,26,Female,United States,2,4,4,2,4,3,5,3,4,3,1,1,4,6,7,8,9,8,6,1,5,4,6,6,5,6,6,1,2,1,3,2,5.7
76826,24,Male,United States,3,3,4,5,4,3,4,3,3,3,3,2,2,9,7,7,8,6,9,5,5,5,5,5,5,5,4,4,4,4,2.7,2.333333,NA
76837,56,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76842,81,Male,United States,3,1,1,5,4,1,4,5,3,1,1,1,1,8,8,9,5,9,4,6,6,6,6,6,5,6,5,2,4,4,1.6,1,5
76846,31,Female,United States,3,2,3,3,3,3,4,3,2,1,4,1,3,7,7,8,6,8,6,6,6,6,6,5,5,6,6,2,2,3,2.5,2.666667,4.3
76864,25,Male,United States,4,3,5,4,2,3,4,3,3,3,5,4,5,0,0,0,0,3,0,4,5,5,6,6,3,5,5,4,3,4,3.2,4.666667,4.2
76931,42,Female,United States,3,4,4,4,2,3,3,2,4,2,3,4,4,2,2,3,2,8,0,5,6,5,6,6,6,6,6,2,1,4,3.3,3.666667,6
77087,32,Female,United States,3,4,3,4,4,2,3,4,3,2,3,2,1,7,6,5,6,7,8,6,6,6,6,6,5,6,6,1,5,2,2.6,2,4.2
77089,26,Male,United States,2,2,5,5,3,1,4,4,2,2,3,2,2,7,6,8,7,6,4,4,6,4,6,6,5,6,5,2,2,5,2.2,2.333333,5.1
77124,32,Female,United States,4,5,4,3,2,4,3,2,4,3,5,2,4,2,9,5,7,8,3,4,6,4,6,6,6,6,5,4,6,4,3.8,3.666667,5.9
77209,42,Female,United States,2,2,1,5,2,2,5,5,1,1,3,3,3,4,8,5,5,9,5,4,5,5,5,5,5,5,5,5,4,4,1.6,3,5.1
77224,29,Male,United States,4,5,5,4,2,5,4,2,2,3,3,3,4,2,5,5,4,8,6,5,5,5,5,5,5,5,5,4,3,2,3.6,3.333333,4.6
77228,39,Male,United States,1,1,1,5,4,1,5,5,1,1,3,3,3,NA,7,6,NA,7,3,2,4,5,6,6,6,5,5,1,3,1,1.1,3,5.7
77231,37,Male,United States,3,4,4,4,3,3,5,4,3,1,2,2,4,5,7,6,5,9,6,4,6,5,5,5,5,6,6,1,5,4,2.6,2.666667,5.6
77282,36,Female,United States,2,5,4,5,2,2,5,5,2,2,5,2,5,1,4,4,1,10,0,1,6,6,6,6,6,6,6,1,4,5,2.4,4,2.4
77331,31,Male,United States,1,1,3,4,5,2,5,4,1,1,3,3,4,4,3,3,2,9,3,4,5,4,2,2,NA,NA,NA,NA,NA,NA,1.5,3.333333,NA
77437,42,Female,United States,4,2,4,5,3,2,3,4,2,2,5,5,5,2,3,2,6,6,2,3,4,3,5,5,6,6,5,2,1,1,2.5,5,2.3
77447,47,Male,United States,1,1,4,5,4,1,5,3,1,1,1,1,2,5,8,5,9,9,6,5,6,6,6,6,5,6,5,4,3,4,1.6,1.333333,4.9
77491,41,Female,United States,3,3,2,3,3,2,3,3,3,1,3,2,3,8,10,9,3,9,9,6,5,5,6,6,6,6,6,1,2,4,2.6,2.666667,5.3
77553,42,Female,United States,2,4,3,3,2,3,3,4,4,1,4,3,4,0,5,9,7,9,0,5,5,5,5,5,6,5,5,6,2,5,2.9,3.666667,5.4
77706,59,Female,United States,2,2,1,5,3,2,5,4,3,1,1,1,1,5,8,8,1,3,4,2,4,4,3,4,2,6,6,1,4,4,1.8,1,5.9
77726,75,Female,United States,3,3,4,5,2,2,4,3,2,5,3,3,4,3,2,7,2,4,1,6,6,6,6,6,6,6,6,2,2,2,2.9,3.333333,5.5
77868,40,Female,United States,3,4,5,3,3,4,3,2,4,4,2,2,4,2,0,1,NA,5,NA,4,6,5,6,6,5,5,5,5,2,4,3.7,2.666667,5.8
77936,65,Female,United States,1,1,1,5,5,1,5,5,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,NA
78011,38,Female,United States,3,1,3,4,4,2,4,2,2,2,1,1,3,1,5,6,4,3,4,2,5,5,4,5,4,4,5,4,2,5,2.3,1.666667,6
